localW	localH	local-size	tsk	trw	trh	tsw	tsh	n-size	realization	nounroll	gpu-time	Column 13
16	2	32	16	12	8	192	16	4	2	0	35.398682	
8	4	32	4	20	2	160	8	4	2	0	35.605881	
16	2	32	12	8	6	128	12	2	2	0	35.676041	
16	2	32	16	8	4	128	8	4	2	0	35.687359	
16	4	64	16	12	4	192	16	2	2	0	35.697842	
16	2	32	8	16	4	256	8	4	2	0	35.834518	
8	2	16	12	12	8	96	16	4	2	0	35.865479	
16	4	64	4	16	2	256	8	4	2	0	35.970482	
8	4	32	4	20	2	160	8	2	2	0	36.027081	
8	2	16	8	12	8	96	16	4	2	0	36.052959	
16	2	32	8	8	4	128	8	2	2	0	36.12928	
16	4	64	4	20	2	320	8	2	2	0	36.135681	
16	4	64	12	20	4	320	16	2	2	0	36.1632	
8	2	16	12	8	4	64	8	4	2	0	36.249802	
32	2	64	8	12	4	384	8	4	2	0	36.250118	
8	2	16	8	16	6	128	12	4	2	0	36.27536	
16	2	32	8	12	4	192	8	4	2	0	36.44532	
32	2	64	8	8	4	256	8	2	2	0	36.497082	
32	2	64	8	16	8	512	16	2	2	0	36.5378	
8	2	16	4	16	6	128	12	4	2	0	36.715401	
8	2	16	4	8	8	64	16	2	2	0	36.729	
32	4	128	12	8	2	256	8	4	2	0	36.812962	
32	2	64	12	8	6	256	12	2	2	0	36.89732	
16	2	32	12	12	6	192	12	4	2	0	36.918919	
16	2	32	12	16	6	256	12	4	2	0	36.976959	
16	4	64	8	20	2	320	8	4	2	0	37.019199	
32	4	128	12	20	4	640	16	2	2	0	37.031078	
32	4	128	8	20	2	640	8	4	2	0	37.031239	
16	4	64	16	12	2	192	8	4	2	0	37.051521	
32	2	64	12	12	6	384	12	4	2	0	37.31424	
16	4	64	8	12	2	192	8	2	2	0	37.400921	
16	8	128	16	20	2	320	16	2	2	0	37.549519	
32	4	128	16	12	2	384	8	4	2	0	37.620281	
16	8	128	4	16	4	256	32	2	2	0	37.767879	
32	4	128	4	20	2	640	8	2	2	0	37.800961	
16	4	64	16	8	2	128	8	4	2	0	37.842041	
8	2	16	16	16	8	128	16	4	2	0	38.03944	
16	8	128	16	16	4	256	32	2	2	0	38.11272	
32	2	64	16	8	4	256	8	4	2	0	38.1814	
8	4	32	8	12	2	96	8	2	2	0	38.525761	
32	2	64	12	20	8	640	16	4	2	0	38.641521	
16	8	128	8	16	4	256	32	2	2	0	38.729519	
16	8	128	12	16	4	256	32	2	2	0	38.730801	
8	4	32	4	16	2	128	8	4	2	0	38.739922	
8	4	32	4	16	2	128	8	2	2	0	38.805801	
16	4	64	16	20	6	320	24	2	2	0	38.861198	
8	2	16	16	12	8	96	16	4	2	0	39.031361	
